ACCESS_METHOD,ALGO_TYPE,ASSET_BASE,ASSET_COUNTER,AUDIT_ID,DOMAIN_ID,ECN,ECP_ACCOUNT,ECP_BIC,ECP_CLIENT,ECP_EXEC_ID,ECP_FLOOR,ECP_FLOOR_KEY,ECP_INSTITUTION,ECP_INSTITUTION_KEY,ECP_LEI,ECP_ORDER_ID,ECP_ROLE,ECP_TRADER,EFP_ACCOUNT,EFP_BIC,EFP_CLIENT,EFP_EBS_ORDER_ID,EFP_EXEC_ID,EFP_EXEC_SIDE,EFP_FLOOR,EFP_FLOOR_KEY,EFP_INSTITUTION,EFP_INSTITUTION_KEY,EFP_LEI,EFP_ORDER_ID,EFP_ROLE,EFP_TRADER,END_DATE,EXEC_ID,IND_UNSOLICITED,INSTR_PRODUCT_TYPE,INSTR_SEC_ID,INSTR_SYMBOL,IS_TERM_CCY,MARKET_SEGMENT,ORD_EXPOSURE,ORD_PX_PD,ORD_PX_PD_EXP,ORD_PX_SWAP_POINTS,ORD_PX_SWAP_POINTS_EXP,ORD_QUOTE_ID,ORD_QUOTE_REQUEST_ID,ORD_SIDE,ORD_SUBMITTER_SOURCE,ORD_SUBMITTER_TYPE,ORD_TIME_IN_FORCE,ORD_TYPE,PX_SWAP_POINTS,PX_SWAP_POINTS_EXP,SOURCE_ID,SPOT_SETTL_DATE,TRADE_DATE,TRADE_TYPE,TXN_TIME
5,4,EUR,JPY,27,0,2,LPRH,LPRHLPRH,,48563700_4,LPRH,4080,LPRH,1221,,,E,,LCPI,LCPILCPI,,0100-2100-0020,,T,LCPI,3876,LCPI,943,,BE1-1446557363592-2,E,MT7,1454284800000,FF0A-0012-0000-86,1,3,19703626335879202,EUR/JPY,0,4,,,,-50000,-6,,47262052609,0,Sapphire,Manual,1,0,-50000,-6,1,1454457600000,1454284800000,2,1454329315867
5,4,USD,JPY,4,0,2,LPRJ,R4JAR4JA,,46296689_7,R4JA,4198,LPRJ,886,,,C,,PL22,PL22PL22,,0100-2400-0027,,T,PL22,4264,PL22,1133,,LN2-1446727896678-9,C,LN2,1454284800000,FF0A-0014-0000-0A,1,2,575534596125,USD/JPY,0,4,,,,,,,47262048001,1,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315678
5,4,USD,JPY,3,0,2,LPRM,R4MAR4MA,,52026709_3,R4MA,4200,LPRM,889,,,C,,LCPN,LCPNLCPN,,0100-2700-0009,,T,LCPN,3915,LCPN,948,,LN2-1446733626696-6,E,LN2,1454284800000,FF0A-0014-0000-1B,1,2,3332903600157,USD/JPY,0,4,,,,,,,51590569985,0,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315671
5,1,USD,CHF,12,0,2,PL21,PL21PL21,,1,PL21,4263,PL21,1132,,,C,,LCPN,LCPNLCPN,,0100-2400-0012,,T,LCPN,3915,LCPN,948,,LN2-1446721379487-1,E,LN1,1454284800000,FF64-0E70-0001-00,1,0,1900676,USD/CHF,0,2,,,,,,,,0,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315731
5,4,USD,CNH,22,0,2,PL21,PL21PL21,,47173301_8,PL21,4263,PL21,1132,,,C,,LCPN,LCPNLCPN,,0100-2400-0028,,T,LCPN,3915,LCPN,948,,LN2-1446728773277-10,E,LN9,1454284800000,FF0A-0014-0000-0B,1,3,38280974798520349,USD/CNH,1,4,,,,20100000,-8,,47262048001,1,Sapphire,Manual,1,0,20100000,-8,1,1454457600000,1454284800000,2,1454329315831
5,1,GBP,JPY,8,0,2,LPLK,Z4AKZ4AK,,2,Z4AK,4506,LPLK,1228,,,C,,RB01,RB01RB01,,0100-2400-0017,,T,RB01,4392,RB01,1075,,LN2-1446723330227-2,C,LN2,1454284800000,FF64-0E70-0006-00,1,0,852105,GBP/JPY,0,2,,,,,,,,1,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315706
5,1,USD,RUB,10,0,2,LPRD,LPRDLPRD,,4,LPRD,4076,ZRBS,926,,,E,,R3E2,R3E2R3E2,,0100-2400-0015,,T,R3E2,4185,R3E2,1098,,LN2-1446722297770-4,C,LN6,1454284800000,FF64-0E70-0004-00,1,0,1900685,USD/RUB,0,2,,,,,,,,1,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315719
5,1,USD,CHF,13,0,2,PL22,PL22PL22,,2,PL22,4264,PL22,1133,,,C,,LCPO,LCPOLCPO,,0100-2400-0013,,T,LCPO,3916,LCPO,949,,LN2-1446721464277-2,E,LN4,1454284800000,FF64-0E70-0002-00,1,0,1900676,USD/CHF,0,2,,,,,,,,1,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315738
5,1,AUD,CAD,14,0,2,LPRA,LPRALPRA,,8,LPRA,4073,ZHBC,959,,,E,,LCPL,LCPLLCPL,,0100-2400-000A,,T,LCPL,3913,LCPL,946,,LN2-1446716515210-8,E,LN2,1454284800000,FF64-0E6D-000A-00,1,0,196739,AUD/CAD,0,2,,,,,,,,0,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315744
5,4,USD,CNH,23,0,2,PL22,PL22PL22,,47183388_9,PL22,4264,PL22,1133,,,C,,LCPO,LCPOLCPO,,0100-2400-0029,,T,LCPO,3916,LCPO,949,,LN2-1446728783373-11,E,L10,1454284800000,FF0A-0014-0000-0C,1,3,38280974798520349,USD/CNH,1,4,,,,19950000,-8,,47262048001,0,Sapphire,Manual,1,0,19950000,-8,1,1454457600000,1454284800000,2,1454329315838
5,1,AUD,CAD,15,0,2,LPRB,LPRBLPRB,,34289326_10,LPRB,4074,ZBOA,960,,,E,,LCPM,LCPMLCPM,,0100-2900-0023,,T,LCPM,3914,LCPM,947,,LN2-1446975088802-2,E,L02,1454284800000,FF64-0E70-002E-04,1,0,196739,AUD/CAD,0,2,,,,,,,,1,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315783
5,4,EUR,JPY,5,0,2,LPRE,LPRELPRE,,51408775_13,LPRE,4077,ZCBK,927,,,E,,LCLH,LCLHLCLH,,0100-2700-0007,,T,LCLH,4397,LCLH,1166,,LN2-1446733008758-5,E,LN2,1454284800000,FF0A-0014-0000-1A,1,2,335016427554,EUR/JPY,0,4,,,,,,,51590569985,0,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315685
5,4,EUR,CHF,24,0,2,LPRG,LPRGLPRG,,48154440_11,LPRG,4079,ZCSF,963,,,E,,LCRI,LCRILCRI,,0100-2400-002F,,T,LCRI,4160,LCRI,909,,LN2-1446729754415-3,E,LN7,1454284800000,FF0A-0014-0000-10,1,3,218424959893274658,EUR/CHF,0,4,,,,19995000,-8,,47262048257,1,Sapphire,Manual,1,0,19995000,-8,1,1454457600000,1454284800000,2,1454329315846
6,4,EUR,AUD,11,0,2,PL01,PL01PL01,,54319368_3,PL01,4243,PL01,1112,,,C,,LCPJ,LCPJLCPJ,,0100-1F00-002C,,T,LCPJ,3877,LCPJ,944,,NOSced69fd7-e7d1-4478-af06-e3fe79da7c50,E,MT7,1454284800000,FF0A-0012-0000-2D,1,0,2228354,EUR/AUD,0,4,,,,,,,1,0,MyT,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315725
6,4,EUR,USD,0,0,2,LPRL,R4LAR4LA,,53125668_1,R4LA,4199,LPRL,888,,,C,,LCRI,LCRILCRI,,0100-0A00-0013,,T,LCRI,4160,LCRI,909,,NOS-e3cafd0d-8fb3-4737-a4af-ad83d3b5e332,E,MYT,1454284800000,A7E8-2770-E32E-3A,1,2,2223335,EUR/USD,0,4,,,,,,,4,0,MyT,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315633
6,4,USD,CAD,28,0,2,LPRL,LPRLLPRL,,44335627_5,LPRL,4165,LPRL,888,,,E,,LCLA,LCLALCLA,,0500-6000-000D,,T,LCLA,3946,LCLA,905,,NOS-24b5b405-e3e0-4f80-8ff0-746c28ec7674,E,MYT,1454284800000,E330-E7B0-C26B-52,1,3,1114448,USD/CAD,0,4,,,,20015,-5,,2,0,MyT,Manual,1,0,50000,-8,1,1454457600000,1454284800000,2,1454329315873
6,4,AUD,USD,21,0,2,PL02,PL02PL02,,44335627_5,PL02,4244,PL02,1113,,,C,,LCPK,LCPKLCPK,,0500-6000-000D,,T,LCPK,3896,LCPK,945,,NOS-24b5b405-e3e0-4f80-8ff0-746c28ec7674,E,M12,1454284800000,7E4B-D159-2E3F-51,1,3,1114448,AUD/USD,0,4,,,,20015,-5,,2,0,MyT,Manual,1,0,50000,-8,1,1454457600000,1454284800000,2,1454329315824
6,1,EUR,GBP,17,0,2,LPRH,LPRHLPRH,,35310894_6,LPRH,4080,LPRH,1221,,,E,,LCPI,LCPILCPI,,0100-3300-0003,,T,LCPI,3876,LCPI,943,,LN2-1447148910874-3,E,MT2,1454284800000,FF64-0E72-0003-00,1,0,2228359,EUR/GBP,0,2,,,,,,,3,1,MyT,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315796
6,4,EUR,GBP,16,0,2,LPRG,LPRGLPRG,,19887981_1,LPRG,4079,ZCSF,963,,,E,,LCPH,LCPHLCPH,,0100-1F00-000F,,T,LCPH,3875,LCPH,942,,NOS88d9159c-2dac-4ddc-853d-3f1a6ba035de,E,MT1,1454284800000,FF0A-0012-0000-24,1,0,2228359,EUR/GBP,0,4,,,,,,,2,0,MyT,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315790
